name,state,city,office_address,telephone,email
Concord,New Hampshire,TRUE,41 GREEN ST CONCORD 03301,(603) 225-8500,cityclerk@concordnh.gov
Conway,New Hampshire,TRUE,1634 EAST MAIN STREET CENTER CONWAY 03813,(603) 447-3811,linkell@conwaynh.org
Cornish,New Hampshire,TRUE,PO BOX 183 CORNISH FLAT 03746,(603) 675-5207,cornishtownclerk@comcast.net
Crawford's Purchase,New Hampshire,TRUE,20 PARK ST GORHAM 03581,(603) 466-2744,cporter@gorhamnh.org
Croydon,New Hampshire,TRUE,879 NH RTE 10 CROYDON 03773,(603) 863-7830,croydon@myfairpoint.net
Cutt's Grant,New Hampshire,TRUE,20 PARK ST GORHAM 03581,(603) 466-2744,cporter@gorhamnh.org
Dalton,New Hampshire,TRUE,756 DALTON ROAD DALTON 03598,(603) 837-2092,town.clerk@townofdalton.com
Danbury,New Hampshire,TRUE,23 HIGH ST DANBURY 03230,(603) 768-5448,danburyclerk@comcast.net
Danville,New Hampshire,TRUE,210 MAIN STREET DANVILLE 03819,(603) 382-8253,ctracy@townofdanville.org
Deerfield,New Hampshire,TRUE,PO BOX 159 DEERFIELD 03037,(603) 463-8811,twn@townofdeerfieldnh.com
Deering,New Hampshire,TRUE,762 DEERING CENTER ROAD DEERING 03244,(603) 464-3224,townclerk@deering.nh.us
Derry,New Hampshire,TRUE,14 MANNING STREET DERRY 03038,(603) 432-6105,danielhealey@derrynh.org
Dix's Grant,New Hampshire,TRUE,17 BRIDGE ST COLEBROOK 03576,(603) 237-5200,townclerk@colebrooknh.org
Dixville,New Hampshire,TRUE,1 WILDERNESS ROAD DIXVILLE 03576,(603) 227-2680,debtt@tango175.com
Dorchester,New Hampshire,TRUE,1097 N. DORCHESTER ROAD DORCHESTER 03266,(603) 786-9476,tctc.dorchester@gmail.com
Dover,New Hampshire,TRUE,288 CENTRAL AVE DOVER 03820,(603) 516-6012,s.mistretta@dover.nh.gov
Dublin,New Hampshire,TRUE,PO BOX 62 DUBLIN 03444,(603) 563-8859,townclerk@townofdublin.org
Dummer,New Hampshire,TRUE,75 HILL ROAD DUMMER 03588,(603) 449-2006,dummertownclerk@gmail.com
Dunbarton,New Hampshire,TRUE,1011 SCHOOL STREET DUNBARTON 03046,(603) 774-3547,townclerk@dunbartonnh.org
Durham,New Hampshire,TRUE,8 NEWMARKET ROAD DURHAM 03824,(603) 868-5577,lpitt@ci.durham.nh.us
East Kingston,New Hampshire,TRUE,PO BOX 249 E KINGSTON 03827,(603) 642-8794,bclark@eastkingstonnh.gov
Easton,New Hampshire,TRUE,1060 EASTON VALLEY ROAD EASTON 03580,(603) 823-8017,eastonnhtownclerk@gmail.com
Eaton,New Hampshire,TRUE,PO BOX 118 EATON CENTER 03832,(603) 447-2840,eatonnhtc@gmail.com
Effingham,New Hampshire,TRUE,68 SCHOOL STREET EFFINGHAM 03882,(603) 539-7551,effinghamdeanna@roadrunner.com
Ellsworth,New Hampshire,TRUE,3 ELLSWORTH POND RD ELLSWORTH 03223,(603) 726-3551,dobellsworth@gmail.com
Enfield,New Hampshire,TRUE,PO BOX 373 ENFIELD 03748,(603) 632-5001,townclerk@enfield.nh.us
Epping,New Hampshire,TRUE,157 MAIN ST EPPING 03042,(603) 679-8288,clerkandtax@townofepping.com
Epsom,New Hampshire,TRUE,PO BOX 10 EPSOM 03234,(603) 736-4825,dawnepsom@metrocast.net
Errol,New Hampshire,TRUE,PO BOX 100 ERROL 03579,(603) 482-3351,erroltownclerk@gmail.com
Erving's Location,New Hampshire,TRUE,1679 US RTE 3 COLUMBIA 03576,(603) 237-5255,towncolumbia@myfairpoint.net
Exeter,New Hampshire,TRUE,10 FRONT STREET EXETER 03833,(603) 778-0591,akohler@exeternh.gov
Farmington,New Hampshire,TRUE,356 MAIN STREET FARMINGTON 03835,(603) 755-3657,tctc@metrocast.net
Fitzwilliam,New Hampshire,TRUE,PO BOX 725 FITZWILLIAM 03447,(603) 585-7214,fitzclerk@fitzwilliam-nh.gov
Francestown,New Hampshire,TRUE,PO BOX 67 FRANCESTOWN 03043,(603) 547-6251,townclerk@francestownnh.org
Franconia,New Hampshire,TRUE,PO BOX 900 FRANCONIA 03580,(603) 823-5237,townclerk@franconianh.org
Franklin,New Hampshire,TRUE,316 CENTRAL STREET FRANKLIN 03235,(603) 934-3109,kgargano@franklinnh.org
Freedom,New Hampshire,TRUE,PO BOX 457 FREEDOM 03836,(603) 539-8269,freedomtownclerk@yahoo.com
Fremont,New Hampshire,TRUE,PO BOX 120 FREMONT 03044,(603) 895-8693,fremontclerk@comcast.net
Gilford,New Hampshire,TRUE,47 CHERRY VALLEY RD GILFORD 03249,(603) 527-4713,dlafond@gilfordnh.org
Gilmanton,New Hampshire,TRUE,PO BOX 550 GILMANTON 03237,(603) 267-6726,tctx@gilmantonnh.org
Gilsum,New Hampshire,TRUE,PO BOX 36 GILSUM 03448,(603) 357-0320,robin03448@gmail.com
Goffstown,New Hampshire,TRUE,16 MAIN STREET GOFFSTOWN 03045,(603) 497-8990,cball@goffstownnh.gov
Gorham,New Hampshire,TRUE,20 PARK STREET GORHAM 03581,(603) 466-2744,cporter@gorhamnh.org
Goshen,New Hampshire,TRUE,PO BOX 58 GOSHEN 03752,(603) 863-5655,townofgoshen@goshennh.org
Grafton,New Hampshire,TRUE,PO BOX 277 GRAFTON 03240,(603) 523-7270,graftontc2008@hotmail.com
Grantham,New Hampshire,TRUE,PO BOX 135 GRANTHAM 03753,(603) 863-5608,kstory@granthamnh.net
Greenfield,New Hampshire,TRUE,PO BOX 256 GREENFIELD 03047,(603) 547-2782,greenfielddeputyclerk@gmail.com
Greenland,New Hampshire,TRUE,PO BOX 100 GREENLAND 03840,(603) 431-7111,mmorgan@greenland-nh.com
Green'S Grant,New Hampshire,TRUE,20 PARK STREET GORHAM 03581,(603) 466-2744,cporter@gorhamnh.org
Greenville,New Hampshire,TRUE,PO BOX 354 GREENVILLE 03048,(603) 878-4155,clerk-collector@comcast.net
Groton,New Hampshire,TRUE,754 NORTH GROTON ROAD GROTON 03241,(603) 744-8849,townclerk@grotonnh.org
Hadley's Purchase,New Hampshire,TRUE,20 PARK ST GORHAM,(603) 466-2744,cporter@gorhamnh.org
Hale's Location,New Hampshire,TRUE,1634 E MAIN STREET CONWAY 03813,(603) 447-3811,linkell@conwaynh.org
Hampstead,New Hampshire,TRUE,PO BOX 298 HAMPSTEAD 03841,(603) 329-4100,townclerk@hampsteadnh.us
Hampton,New Hampshire,TRUE,100 WINNACUNNET ROAD HAMPTON 03842,(603) 926-0406,townclerk@hamptonnh.gov
Hampton Falls,New Hampshire,TRUE,1 DRINKWATER ROAD HAMPTON FALLS 03844,(603) 926-4618,townclerk@hamptonfalls.org
Hancock,New Hampshire,TRUE,PO BOX 6 HANCOCK 03449,(603) 525-4441,clerk@hancocknh.org
Hanover,New Hampshire,TRUE,PO BOX 483 HANOVER 03755,(603) 640-3203,betsy.mcclain@hanovernh.org
Harrisville,New Hampshire,TRUE,705 CHESHAM RD/PO BOX 284 HARRISVILLE 03450,(603) 827-5546,townclerk@harrisvillenh.org
Hart's Location,New Hampshire,TRUE,PO BOX 540 HARTS LOCATION 03812,(603) 347-6397,hartslocationtc@gmail.com
Haverhill,New Hampshire,TRUE,2975 DARTMOUTH COLLEGE HWY N HAVERHILL 03774,(603) 787-6200,townclerk@haverhill-nh.com
Hebron,New Hampshire,TRUE,PO BOX 55 HEBRON 03241,(603) 744-7999,clerk@hebronnh.org
Henniker,New Hampshire,TRUE,18 DEPOT HILL ROAD HENNIKER 03242,(603) 428-3240,hennikertc@tds.net
Hill,New Hampshire,TRUE,30 CRESCENT STREET HILL 03243,(603) 934-3951,hilltwnclk@comcast.net
Hillsborough,New Hampshire,TRUE,PO BOX 1699 HILLSBOROUGH 03244,(603) 464-3877,debbie@hillsboroughnh.net
Hinsdale,New Hampshire,TRUE,PO BOX 31 HINSDALE 03451,(603) 336-5719,jseymour@hinsdalenh.org
Holderness,New Hampshire,TRUE,PO BOX 203 HOLDERNESS 03245,(603) 968-7536,tctc@holderness-nh.gov
Hollis,New Hampshire,TRUE,3 MARKETPLACE HOLLIS 03049,(603) 465-2064,townclerk@hollisnh.org
Hooksett,New Hampshire,TRUE,35 MAIN STREET HOOKSETT 03106,(603) 485-9534,trainier@hooksett.org
Hopkinton,New Hampshire,TRUE,PO BOX 446 CONTOOCOOK 03229,(603) 746-8247,clerkcollector@hopkinton-nh.gov
Hudson,New Hampshire,TRUE,12 SCHOOL STREET HUDSON 03051,(603) 886-6003,pbarry@hudsonnh.gov
Jackson,New Hampshire,TRUE,PO BOX 336 JACKSON 03846,(603) 383-4223,jxntctc@jackson-nh.org
Jaffrey,New Hampshire,TRUE,10 GOODNOW ST JAFFREY 03452,(603) 532-7861,krollins@townofjaffrey.com
Jefferson,New Hampshire,TRUE,84 STAG HOLLOW RD JEFFERSON 03583,(603) 586-4553,jeffersontownclerk@live.com
Keene,New Hampshire,TRUE,3 WASHINGTON STREET KEENE 03431,(603) 352-0133,plittle@ci.keene.nh.us
Kensington,New Hampshire,TRUE,95 AMESBURY RD KENSINGTON 03833,(603) 772-5423,townclerk@kensingtontown.com
Kilkenny,New Hampshire,TRUE,25 MAIN ST LANCASTER 03584,(603) 788-2306,townclerk@lancasternh.org
Kingston,New Hampshire,TRUE,163 MAIN ST/PO BOX 657 KINGSTON 03848,(603) 642-3112,tc-tc@kingstonnh.org
Laconia,New Hampshire,TRUE,PO BOX 489 LACONIA 03247,(603) 527-1265,voter@laconianh.gov
Lancaster,New Hampshire,TRUE,25 MAIN STREET LANCASTER 03584,(603) 788-2306,townclerk@lancasternh.org
Landaff,New Hampshire,TRUE,12 CENTER HILL ROAD LANDAFF 03585,(603) 838-6220,townclerk@landaffnh.org
Langdon,New Hampshire,TRUE,122 NH ROUTE 12A LANGDON 03602,(603) 835-2389,langdontownclerk@gmail.com
Lebanon,New Hampshire,TRUE,51 NORTH PARK STREET LEBANON 03766,(603) 448-3054,cityclerk@lebanonnh.gov
Lee,New Hampshire,TRUE,7 MAST ROAD LEE 03861,(603) 659-2964,lreinhold@leenh.org
Lempster,New Hampshire,TRUE,PO BOX 33 LEMPSTER 03605,(603) 863-3213,lempstertownclerk@myfairpoint.net
Lincoln,New Hampshire,TRUE,PO BOX 39 LINCOLN 03251,(603) 745-8971,townclerk@lincolnnh.org
Lisbon,New Hampshire,TRUE,46 SCHOOL STREET LISBON 03585,(603) 838-2862,townclerk@lisbonnh.org
Litchfield,New Hampshire,TRUE,2 LIBERTY WAY LITCHFIELD 03052,(603) 424-4045,tbriand@litchfieldnh.gov
Littleton,New Hampshire,TRUE,125 MAIN ST SUITE 202 LITTLETON 03561,(603) 575-9163,jwhite@townoflittleton.org
Livermore,New Hampshire,TRUE,PO BOX 39 LINCOLN 03251,(603) 745-8971,townclerk@lincolnnh.gov
Londonderry,New Hampshire,TRUE,268 B MAMMOTH RD LONDONDERRY 03053,(603) 432-1100,sfarrell@londonderrynh.org
Loudon,New Hampshire,TRUE,55 SOUTH VILLAGE RD LOUDON 03307,(603) 798-4542,townclerk@loudonnh.org
Low & Burbanks Grant,New Hampshire,TRUE,20 PARK ST GORHAM 03581,(603) 466-2744,cporter@gorhamnh.org
Lyman,New Hampshire,TRUE,65 PARKER HILL ROAD LYMAN 03585,(603) 838-6113,lymantc@myfairpoint.net
Lyme,New Hampshire,TRUE,PO BOX 342 LYME 03768,(603) 795-2535,patty@lymenh.gov
Lyndeborough,New Hampshire,TRUE,9 CITIZENS HALL ROAD LYNDEBOROUGH 03082,(603) 654-5955,tschultz@lyndeboroughnh.us
Madbury,New Hampshire,TRUE,13 TOWN HALL RD MADBURY 03823,(603) 742-5131,tcmadbury@comcast.net
Madison,New Hampshire,TRUE,PO BOX 248 MADISON 03849,(603) 367-9931,clerk@madison-nh.org
Manchester,New Hampshire,TRUE,1 CITY HALL PLAZA MANCHESTER 03101,(603) 624-6455,cityclerk@manchesternh.gov
Marlborough,New Hampshire,TRUE,PO BOX 487 MARLBOROUGH 03455,(603) 876-4529,townclerk@marlboroughnh.org
Marlow,New Hampshire,TRUE,167 NH RT 123 MARLOW 03456,(603) 446-2245,marlowclerk@marlownh.gov
Martin's Location,New Hampshire,TRUE,20 PARK ST GORHAM,(603) 466-2744,cporter@gorhamnh.org
Mason,New Hampshire,TRUE,16 DARLING HILL RD MASON 03048,(603) 878-3768,masontownclerk@gmail.com
Meredith,New Hampshire,TRUE,41 MAIN STREET MEREDITH 03253,(603) 677-4203,kparker@meredithnh.org
Merrimack,New Hampshire,TRUE,6 BABOOSIC LAKE ROAD MERRIMACK 03054,(603) 424-3651,dtrippett@merrimacknh.gov
Middleton,New Hampshire,TRUE,182 KINGS HIGHWAY MIDDLETON 03887,(603) 473-5210,tctx@middletonnh.gov
Milan,New Hampshire,TRUE,20 BRIDGE ST PO BOX 158 MILAN 03588,(603) 449-3461,milantownclerk@gmail.com
Milford,New Hampshire,TRUE,1 UNION SQUARE MILFORD 03055,(603) 249-0650,joan.dargie@milford.nh.gov
Millsfield,New Hampshire,TRUE,468 US ROUTE 26 ERROL 03579,(603) 482-3294,caploghaven@aol.com
Milton,New Hampshire,TRUE,PO BOX 180 MILTON 03851,(603) 652-4501,townclerktaxcollector@miltonnh-us.com
Monroe,New Hampshire,TRUE,PO BOX 63 MONROE 03771,(603) 638-2644,monroetc@roadrunner.com
Mont Vernon,New Hampshire,TRUE,PO BOX 417 MONT VERNON 03057,(603) 673-9126,mvtownclerk@comcast.net
Moultonborough,New Hampshire,TRUE,PO BOX 15 MOULTONBOROUGH 03254,(603) 476-2347,townclerk@moultonboroughnh.gov
Nashua,New Hampshire,TRUE,229 MAIN STREET NASHUA 03060,(603) 589-3010,cityclerkdept@nashuanh.gov
Nelson,New Hampshire,TRUE,7 NELSON COMMON RD NELSON 03457,(603) 847-9043,townclerk@nelsonnh.us
New Boston,New Hampshire,TRUE,P O BOX 250 NEW BOSTON 03070,(603) 741-6004,k.colbert@newbostonnh.gov
New Castle,New Hampshire,TRUE,PO BOX 367 NEW CASTLE 03854,(603) 431-6710,phnewcastle@yahoo.com
New Durham,New Hampshire,TRUE,PO BOX 207 NEW DURHAM 03855,(603) 859-2091,ndclerk@newdurhamnh.us
New Hampton,New Hampshire,TRUE,PO BOX 538 NEW HAMPTON 03256,(603) 744-8454,radams@new-hampton.nh.us
New Ipswich,New Hampshire,TRUE,661 TURNPIKE ROAD NEW IPSWICH 03071,(603) 878-2772,townclerk@townofnewipswich.org
New London,New Hampshire,TRUE,375 MAIN STREET 7NEW LONDON 03257,(603) 526-1244,tctc@nl-nh.com
Newbury,New Hampshire,TRUE,PO BOX 253 NEWBURY 03255,(603) 763-5326,linda@newburynh.org
Newfields,New Hampshire,TRUE,65 MAIN STREET NEWFIELDS 03856,(603) 772-5070,suemckinnon@newfieldsnh.gov
Newington,New Hampshire,TRUE,205 NIMBLE HILL RD NEWINGTON 03801,(603) 436-7640,lcoleman@townofnewingtonnh.com
Newmarket,New Hampshire,TRUE,186 MAIN ST NEWMARKET 03857,(603) 659-3073,tlittlefield@newmarketnh.gov
Newport,New Hampshire,TRUE,15 SUNAPEE STREET NEWPORT 03773,(603) 863-2224,clerk@newportnh.gov
Newton,New Hampshire,TRUE,2 TOWN HALL ROAD NEWTON 03858,(603) 382-4405,townclerktaxcollector@newtonnh.net
North Hampton,New Hampshire,TRUE,237 ATLANTIC AVENUE NORTH HAMPTON 03862,(603) 964-6029,sbuchanan@northhampton-nh.gov
Northfield,New Hampshire,TRUE,21 SUMMER STREET NORTHFIELD 03276,(603) 286-4482,ccaveney@northfieldnh.org
Northumberland,New Hampshire,TRUE,19 MAIN STREET GROVETON 03582,(603) 636-1450,northumberlandtownclerk@yahoo.com
Northwood,New Hampshire,TRUE,818 FIRST NH TPKE NORTHWOOD 03261,(603) 942-5586,saudet@northwoodnh.org
Nottingham,New Hampshire,TRUE,PO BOX 114 NOTTINGHAM 03290,(603) 679-9598,sweston@nottingham-nh.gov
Odell,New Hampshire,TRUE,1679 US RTE 3 COLUMBIA 03576,(603) 237-5255,towncolumbia@myfairpoint.net
Orange,New Hampshire,TRUE,PO BOX 37 CANAAN 03741,(603) 523-4467,orangetownclerk@myfairpoint.net
Orford,New Hampshire,TRUE,2529 ROUTE 25A ORFORD 03777,(603) 353-4404,townclerk@orfordnh.us
Ossipee,New Hampshire,TRUE,PO BOX 67 CTR OSSIPEE 03814,(603) 539-2008,tctc@ossipee.org
Pelham,New Hampshire,TRUE,6 VILLAGE GREEN PELHAM 03076,(603) 508-3076,townclerk@pelhamweb.com
Pembroke,New Hampshire,TRUE,311 PEMBROKE STREET PEMBROKE 03275,(603) 485-4747,jgoff@pembroke-nh.com
Peterborough,New Hampshire,TRUE,1 GROVE ST PETERBOROUGH 03458,(603) 784-5605,townclerk@peterboroughnh.gov
Piermont,New Hampshire,TRUE,PO BOX 27 PIERMONT 03779,(603) 272-4840,piermont.town.clerk@gmail.com
Pinkham's Grant,New Hampshire,TRUE,20 PARK STREET GORHAM 03581,(603) 466-2744,cporter@gorhamnh.org
Pittsburg,New Hampshire,TRUE,1526 MAIN STREET PITTSBURG 03592,(603) 538-6699,pittsburg1nh@gmail.com
Pittsfield,New Hampshire,TRUE,85 MAIN STREET PITTSFIELD 03263,(603) 435-6773,eanthony@pittsfieldnh.gov
Plainfield,New Hampshire,TRUE,PO BOX 380 MERIDEN 03770,(603) 469-3201,mmarsh@plainfieldnh.org
Plaistow,New Hampshire,TRUE,145 MAIN STREET PLAISTOW 03865,(603) 382-8129,townclerk@plaistow.com
Plymouth,New Hampshire,TRUE,6 POST OFFICE SQ. PLYMOUTH 03264,(603) 536-1732,townclerk@plymouth-nh.org
Portsmouth,New Hampshire,TRUE,1 JUNKINS AVENUE PORTSMOUTH 03801,(603) 610-7207,klbarnaby@cityofportsmouth.com
Randolph,New Hampshire,TRUE,130 DURAND ROAD RANDOLPH 03593,(603) 466-5771,townclerk@randolph.nh.gov
Raymond,New Hampshire,TRUE,4 EPPING STREET RAYMOND 03077,(603) 895-7024,swalls@raymondnh.gov
Richmond,New Hampshire,TRUE,105 OLD HOMESTEAD HWY RICHMOND 03470,(603) 239-6202,richmondtownclerk@yahoo.com
Rindge,New Hampshire,TRUE,30 PAYSON HILL RD RINDGE 03461,(603) 899-5181,townclerk@town.rindge.nh.us
Rochester,New Hampshire,TRUE,31 WAKEFIELD ST ROCHESTER 03867,(603) 332-2130,cityclerk@rochesternh.net
Rollinsford,New Hampshire,TRUE,PO BOX 309 ROLLINSFORD 03869,(603) 742-2510,kate.nesman@rollinsford.nh.us
Roxbury,New Hampshire,TRUE,562 MIDDLETOWN ROAD ROXBURY 03431,(603) 352-4903,roxburytownclerk@yahoo.com
Rumney,New Hampshire,TRUE,PO BOX 275 RUMNEY 03266,(603) 786-2237,townclerk@rumneynh.org
Rye,New Hampshire,TRUE,10 CENTRAL ROAD RYE 03870,(603) 964-8562,ddecotis@town.rye.nh.us
Salem,New Hampshire,TRUE,33 GEREMONTY DR SALEM 03079,(603) 890-2116,swall@salemnh.gov
Salisbury,New Hampshire,TRUE,PO BOX 2 SALISBURY 03268,(603) 648-6322,tclerksalisbury@gmail.com
Sanbornton,New Hampshire,TRUE,PO BOX 124 SANBORNTON 03269,(603) 286-4034,tctc@sanborntonnh.org
Sandown,New Hampshire,TRUE,PO BOX 583 SANDOWN 03873,(603) 887-4870,dnicolaisen@sandown.us
Sandwich,New Hampshire,TRUE,PO BOX 194 SANDWICH 03227,(603) 284-7113,tctcsandwich@cyberpine.net
Sargent's Purchase,New Hampshire,TRUE,20 PARK STREET GORHAM 03581,(603) 466-2744,cporter@gorhamnh.org
Seabrook,New Hampshire,TRUE,12 LINDA LANE SEABROOK 03874,(603) 474-3152,townclerk@seabrooknh.org
Second College Grant,New Hampshire,TRUE,PO BOX 100 ERROL 03579,(603) 482-3351,erroltownclerk@gmail.com
Sharon,New Hampshire,TRUE,201 SPRING HILL RD SHARON 03458,(603) 924-9250,sharontownclerk@gmail.com
Shelburne,New Hampshire,TRUE,74 VILLAGE ROAD SHELBURNE 03581,(603) 466-2262,shelburntctx@gmail.com
Somersworth,New Hampshire,TRUE,1 GOVERNMENT WAY SOMERSWORTH 03878,(603) 692-9511,tharris@somersworth.com
South Hampton,New Hampshire,TRUE,3 HILLDALE AVE SOUTH HAMPTON 03827,(603) 394-7696,tctx@southhamptonnh.org
Springfield,New Hampshire,TRUE,PO BOX 22 SPRINGFIELD 03284,(603) 763-4805,townclerk@springfieldnh.org
Stark,New Hampshire,TRUE,1189 STARK HWY STARK 03582,(603) 636-2118,starktownof@myfairpoint.net
Stewartstown,New Hampshire,TRUE,888 WASHINGTON ST W STEWARTSTOWN 03597,(603) 246-3329,townofstewartstown@hotmail.com
Stoddard,New Hampshire,TRUE,PO BOX 373 STODDARD 03464,(603) 446-3326,stoddardtownclerk@gmail.com
Strafford,New Hampshire,TRUE,P O BOX 169 STRAFFORD 03884,(603) 664-2192,townclerk@strafford.nh.gov
Stratford,New Hampshire,TRUE,PO BOX 366 STRATFORD 03590,(603) 922-5546,tctc@stratfordnh.town
Stratham,New Hampshire,TRUE,10 BUNKER HILL AVE STRATHAM 03885,(603) 772-4741,jcharbonneau@strathamnh.gov
Success,New Hampshire,TRUE,74 VILLAGE ROAD SHELBURNE 03581,(603) 466-2262,shelburntctx@gmail.com
Sugar Hill,New Hampshire,TRUE,PO BOX 574 SUGAR HILL 03586,(603) 823-8516,townclerk@sugarhillnh.org
Sullivan,New Hampshire,TRUE,PO BOX 110 SULLIVAN 03445,(603) 847-3316,sullivantownclerk@myfairpoint.net
