name,state,city,website,telephone,email,office_address,mailing_address
Burlington,Connecticut,TRUE,http://burlingtonct.us/departments/registrars-office.php,"(860) 673-6789, ext. 217",democraticregistrar@burlingtonct.us;republicanregistrar@burlingtonct.us,"200 Spielman Highway
Burlington, CT 6013",
Canaan,Connecticut,TRUE,http://webtownhall.com/Government/TownDepartments/RegistrarofVoters/tabid/2893/Default.aspx,"(860) 546-9377, ext. 18",registrar@canaanfallsvillage.org,"Town Hall, 108 Main Street
Falls Village, CT 6031","PO Box 47
Falls Village, CT 6031"
Canterbury,Connecticut,TRUE,http://www.canterburyct.org/department.php?id=14,(860) 546-9605,lhegan@charter.net;lindasangermano@gmail.com,"1 Municipal Drive
Canterbury, CT 6331",
Canton,Connecticut,TRUE,http://www.townofcantonct.org/content/19178/20825/default.aspx,(860) 693-7839,rov@townofcantonct.org,"4 Market Street
Collinsville, CT 6022","PO Box 168
Collinsville, CT 6022"
Chaplin,Connecticut,TRUE,http://www.chaplinct.org/department.htm?id=p6mlbm1f,(860) 455-9455 /x319,registrars@chaplinct.org;bruce.raymond@charter.net,"495 Phoenixville Road
Chaplin, CT 6235",
Cheshire,Connecticut,TRUE,http://www.cheshirect.org/voting-and-elections/voter-registration/,(203) 271-6680,tsmith@cheshirect.org;spappas@cheshirect.org,"84 South Main Street
Cheshire, CT 6410",
Chester,Connecticut,TRUE,http://chesterct.org/?page_id=364,"(860) 526-0013, ext. 203",chesterregistrar@chesterct.org,"203 Middlesex Avenue
Chester, CT 6412",
Clinton,Connecticut,TRUE,http://clintonct.org/220/Registrar-of-Voters,(860) 669-9101,Registrar@clintonct.org,"33 High Street
Clinton, CT 6413",
Colchester,Connecticut,TRUE,http://www.colchesterct.gov/Pages/ColchesterCT_Dept/RV/index,(860) 537-7204,registrar@colchesterct.gov,"127 Norwich Avenue/ Suite 103
Colchester, CT 6415",
Colebrook,Connecticut,TRUE,http://www.townofcolebrook.org/registrar-of-voters/,"(860) 379-3359, ext. 211",rov@colebrooktownhall.org,"562 Colebrook Road
Colebrook, CT 06021-0005","PO Box 5
Colebrook, CT 06021-0005"
Columbia,Connecticut,TRUE,http://www.columbiact.org/index.asp?Type=B_BASIC&SEC=%7BFF8CBBC8-9C31-4EB1-85FC-8D7DC799FF01%7D,"(860) 228-0110, ext. 113",registrar@columbiact.org,"323 RT 87
Columbia, CT 6237",
Cornwall,Connecticut,TRUE,,(860) 672-4070,cwlregistrar@gmail.com,"26 Pine Street
Cornwall, CT 6753","PO Box 97
Cornwall, CT 6753"
Coventry,Connecticut,TRUE,http://www.coventryct.org/index.aspx?nid=132,(860) 742-4061,Coventry.dem@gmail.com;Coventry.rep@gmail.com,"1712 Main Street
Coventry, CT 6238",
Cromwell,Connecticut,TRUE,http://www.cromwellct.com/dept-registrarofvoters.htm,(860) 632-3418/ 3458,banderson@cromwellct.com;akelly@cromwellct.com,"41 West St.
Cromwell, CT 6416",
Danbury,Connecticut,TRUE,http://www.danbury-ct.gov/content/21015/21087/21145/default.aspx,(203) 797-4550,j.bielizna@danbury-ct.gov;m.doran@danbury-ct.gov,"155 Deer Hill Road
Danbury, CT 6810",
Darien,Connecticut,TRUE,http://www.darienct.gov/voters,(203) 656-7319/7316,sgray@darienct.gov;jvisi@darienct.gov,"2 Renshaw Road
Darien, CT 6820",
Deep River,Connecticut,TRUE,http://deepriverct.us/Pages/DeepRiverCT_Registrar/index,(860) 526-6059,drregistrars@deepriverct.us,"174 Main Street
Deep River, CT 6417",
Derby,Connecticut,TRUE,http://www.derbyct.gov/Registrar-of-Voters/,(203) 736-1454,lpitney@derbyct.gov;jkowarik@derbyct.gov,"1 Elizabeth Street
Derby, CT 06418-1801",
Durham,Connecticut,TRUE,http://www.townofdurhamct.org/content/28562/27556/27771/default.aspx,(860) 343-6719/x8,kcheyney@townofdurhamct.org;lbattipaglia@townofdurhamct.org,"Town Hall, 30 Town House Road
Durham, CT 6422","PO Box 428
Durham, CT 6422"
East Granby,Connecticut,TRUE,http://www.eastgranbyct.org/registrars-of-voters.html,(860) 653-0097,registrars@egtownhall.com,"9 Center Street
East Granby, CT 6026","PO Box 1858
East Granby, CT 6026"
East Haddam,Connecticut,TRUE,http://www.easthaddam.org/index.cfm?fuseaction=trees.pageDetails&p=888-80-1389,(860) 873-5029,registrars@easthaddam.org,"1 Plains Road
Moodus, CT 6423","PO Box 385
Moodus, CT 6469"
East Hampton,Connecticut,TRUE,http://www.easthamptonct.gov/Pages/EastHamptonCT_Registrar/index,"(860) 267-2519, ext. 321",lwilcox@easthamptonct.gov,"20 East High Street
East Hampton, CT 6424",
East Hartford,Connecticut,TRUE,http://www.easthartfordct.gov/registrars-of-voters,(860) 291-7282,mmourey@easthartfordct.gov;swatkins@easthartfordct.gov,"740 Main Street
East Hartford, CT 6108",
East Haven,Connecticut,TRUE,http://www.townofeasthavenct.org/registrar-voters,(203) 468-3320,easthaven.rov@gmail.com,"250 Main Street
East Haven, CT 6512",
East Lyme,Connecticut,TRUE,http://eltownhall.com/services/registrar-of-voters/,(860) 739-6147 or (860) 739-6782,bmcgrath@eltownhall.com;msmith@eltonhall.com,"East Lyme Community Center, 37 Society Rd
Niantic, CT 6357",
East Windsor,Connecticut,TRUE,http://www.eastwindsor-ct.gov/Public_Documents/EWindsorCT_Registrar/registrar,(860) 292-5915,asevarino@eastwindsorct.com;kgaudreau@eastwindsorct.com,"167 Depot St
Broad Brook, CT 6016",
Eastford,Connecticut,TRUE,,(860) 974-0133,registrar@townofeastford.com,"16 Westford Road
Eastford, CT 6242","PO Box 98
Eastford, CT 6242"
Easton,Connecticut,TRUE,,(203) 268-6291,dsmith@eastonct.gov;vcaprio@eastonct.gov,"225 Center Road
Easton, CT 6612",
Ellington,Connecticut,TRUE,http://www.ellington-ct.gov/227/Registrar-of-Voters,(860) 870-3107,ellington.dem@gmail.com;ellington.rep@gmail.com,"55 Main Street
Ellington, CT 6029","PO Box 187
Ellington, CT 6029"
Enfield,Connecticut,TRUE,http://www.enfield-ct.gov/416/Registrar-of-Voters,(860) 253-6320 or (860) 253-6321,lfiore@enfield.org;tkienzler@enfield.org,"14 Cartier Rd
Enfield, CT 6082",
Essex,Connecticut,TRUE,http://www.essexct.gov/registrars-of-voters,"(860) 767-4340, ext. 129",criley@essexct.gov;jheiser@essexct.gov,"29 West Avenue
Essex, CT 6426",
Fairfield,Connecticut,TRUE,http://www.fairfieldct.org/content/10726/12538/default.aspx,(203) 256-3115,mwaggner@fairfieldct.org;selworthy@fairfieldct.org,"611 Old Post Road
Fairfield, CT 6824",
Farmington,Connecticut,TRUE,http://www.farmington-ct.org/town_services/registrar_of_voters/index.html,(860) 675-2380,brennemanb@farmington-ct.org;learye@farmington-ct.org,"1 Monteith Drive
Farmington, CT 6032",
Franklin,Connecticut,TRUE,,"(860) 642-7352, ext. 12",franklin@99main.com,"7 Meeting House Hill Road
Franklin, CT 6254",
Glastonbury,Connecticut,TRUE,http://www.glastonbury-ct.gov/departments/department-directory-l-z/registrar-of-voters,(860) 652-7627/7628,charlie.murray@glastonbury-ct.gov;lisbeth.becker@glastonbury-ct.gov,"2155 Main Street
Glastonbury, CT 6033","PO Box 6523
Glastonbury, CT 6033"
Goshen,Connecticut,TRUE,http://www.goshenct.gov/registrar-of-voters,"(860) 491-2308, ext. 236",registrar@goshenct.gov;loriclinton89@yahoo.com,"42 A North St
Goshen, CT 6756",
Granby,Connecticut,TRUE,http://www.granby-ct.gov/Public_Documents/GranbyCT_Registrar/index,(860) 844-5322,vr.granby.ct@gmail.com,"15 North Granby Road
Granby, CT 6035",
Greenwich,Connecticut,TRUE,http://www.greenwichct.org/government/departments/voter_registration/,(203) 622-7889 or (203) 622-7890,mary.hegarty@greenwichct.org;fred.decaro@greenwichct.org,"101 Field Point Road
Greenwich, CT 6830",
Griswold,Connecticut,TRUE,http://www.griswold-ct.org/registrarofvoters.html,"(860) 376-7060, ext. 2210",rov@griswold-ct.org,"28 Main Street
Griswold, CT 6351",
Groton,Connecticut,TRUE,http://www.groton-ct.gov/town_gov/voter_regs.asp,(860) 441-6650,pduarte@groton-ct.gov;kvenditti@groton-ct.gov,"91 Shennecossett Parkway
Groton, CT 6340",
Guilford,Connecticut,TRUE,http://www.ci.guilford.ct.us/registrar-voters.htm,(203) 453-8028,registrar@ci.guilford.ct.us,"162 Sconset Ln
Guilford, CT 6437",
Haddam,Connecticut,TRUE,,(860) 345-0979,registrar@haddam.org,"30 Field Park Drive
Haddam, CT 6438",
Hamden,Connecticut,TRUE,http://www.hamden.com/content/7089/7093/7091/7129/default.aspx,(203) 287-7061/7066,rmentone@hamden.com;tesposito@hamden.com,"2750 Dixwell Avenue
Hamden, CT 6518",
Hampton,Connecticut,TRUE,http://www.hamptonct.org/department.htm?id=f7key4tt,"(860) 455-9132, ext. 4",registrars@hamptonct.org,"164 Main Street
Hampton, CT 6247","PO Box 143
Hampton, CT 6247"
Hartford,Connecticut,TRUE,http://www.hartford.gov/registrar-of-voters,(860) 757-9830,felig002@hartford.gov;halls002@hartford.gov,"550 Main Street
Hartford, CT 6103",
Hartland,Connecticut,TRUE,http://www.hartlandct.org/registrar-of-voters,(860) 653-0295 x120,registrar@hartland.necoxmail.com,"22 South Road
E Hartland, CT 6027",
Harwinton,Connecticut,TRUE,http://www.harwinton.us/town-clerk/pages/voter-registration,(860) 485-9051,voting@harwinton.us,"100 Bentley Drive
Harwinton, CT 6791",
Hebron,Connecticut,TRUE,http://hebronct.com/town-departments/registrar-of-voters/,(860) 228-5971 x134,fitzgerald.elizabeth@ymail.com;hebron.rep@gmail.com,"15 Gilead Street
Hebron, CT 6248",
Kent,Connecticut,TRUE,http://www.townofkentct.org/registrars-of-voters,(860) 927-1953,registrar@townofkentct.org;jwgadiel@gmail.com,"Town Hall, 41 Kent Green Blvd
Kent, CT 6757","PO Box 676
Kent, CT 6757"
Killingly,Connecticut,TRUE,http://www.killingly.org/registrars,(860) 779-5301 or (860) 779-5302,registrar@killinglyct.org;killingly.rep@gmail.com,"26 Dark Lantern Hill Rd
Danielson, CT 6239","PO BOX 163
Ballouville, CT 6233"
Killingworth,Connecticut,TRUE,http://www.townofkillingworth.com/offices/elections.html,"(860) 663-1765, ext. 216",rov@townofkillingworth.com,"323 Route 81
Killingworth, CT 6419",
Lebanon,Connecticut,TRUE,http://www.lebanontownhall.org/department.htm?id=ueo7jn37,(860) 642-6202,registrar@lebanonct.gov,"579 Exeter Road
Lebanon, CT 6249",
Ledyard,Connecticut,TRUE,http://www.town.ledyard.ct.us/338/Registrar-of-Voters,(860) 464-3252,voter@ledyardct.org,,"PO Box 155
Ledyard, CT 6639"
Lisbon,Connecticut,TRUE,http://www.lisbonct.com/registrar_voters.php,(860) 376-1743,sbarrett@lisbonct.com;mgrant@lisbonct.com,"1 Newent Road
Lisbon, CT 6351",
Litchfield,Connecticut,TRUE,http://www.townoflitchfield.org/Pages/LitchfieldCT_VoterRegistrar/index,(860) 567-7558,bputnam@townoflitchfield.org;nsouthard@townoflitchfield.org,"74 West Street
Litchfield, CT 6759","PO Box 488
Litchfield, CT 6759"
Lyme,Connecticut,TRUE,,(860) 434-7733,registrar@townlyme.org,"480 Hamburg Road
Lyme, CT 6371",
Madison,Connecticut,TRUE,http://www.madisonct.org/399/Registrar-of-Voters,(203) 245-5671,registrar@madisonct.org,"8 Campus Drive
Madison, CT 6443",
Manchester,Connecticut,TRUE,http://registrar.townofmanchester.org/,(860) 647-3025,jstevenson@manchesterct.gov;tbecker@manchesterct.gov,"479 Main St
Manchester, CT 06045-0191","PO Box 191
Manchester, CT 06045-0191"
Mansfield,Connecticut,TRUE,http://mansfieldct.gov/content/1914/4271/default.aspx,(860) 429-3368/3369,reddingcg@mansfieldct.org;wardv@mansfieldct.org,"4 South Eagleville Road
Storrs Mansfield, CT 6268",
Marlborough,Connecticut,TRUE,http://www.marlboroughct.net/index.php/registrar-of-voters,(860) 295-6166,dem-registrar@malboroughct.net;rep-registrar@malboroughct.net,"26 North Main Street
Marlborough, CT 6447","PO Box 29
Marlborough, CT 6447"
Meriden,Connecticut,TRUE,,(203) 630-4075,mflynn@meridenct.gov;csarault@meridenct.gov,"City Hall, 142 East Main Street, Room 36
Meriden, CT 6450",
Middlebury,Connecticut,TRUE,,(203) 577-2061,mwatkins@middlebury-ct.org;nrobison@middlebury-ct.org,"1212 Whittemore Road
Middlebury, CT 6762",
Middlefield,Connecticut,TRUE,http://www.middlefieldct.org/registrar-of-voters/,(860) 349-7116,voter@middlefieldct.org;chinsch@middlefieldct.org,"2 Oxford Dr
Middlefield, CT 6455",
Middletown,Connecticut,TRUE,http://www.cityofmiddletown.com/content/117/123/171/default.aspx,(860) 638-4950,Elizabeth.santangelo@middletownct.gov;david.bauer@middletownct.gov,"245 Dekoven Dr, Rm B15
Middletown, CT 6457",
Milford,Connecticut,TRUE,http://www.ci.milford.ct.us/registrars-of-voters,(203) 783-3240,krowland@ci.milford.ct.us;dfellenbaum@ci.milford.ct.us,"70 West River Street
Milford, CT 6460",
Monroe,Connecticut,TRUE,http://www.monroect.org/Registrars-of-Voters,(203) 452-2820,jcampbell@monroect.org;mvillani@monroect.org,"7 Fan Hill Road
Monroe, CT 6468",
Montville,Connecticut,TRUE,http://www.townofmontville.org/Content/Registrar_of_Voters_/,(860) 848-9606/6783,rmarquand@montville-ct.org;dmcfee@montville-ct.org,"310 Norwich-New London Tpke
Uncasville, CT 6382",
Morris,Connecticut,TRUE,,(860) 567-7433,registrarofvoters@townofmorrisct.com,"3 East Street
Morris, CT 6763",
Naugatuck,Connecticut,TRUE,,(203) 720-7047/7044,lsheedy@naugatuck-ct.gov;mkatra@naugatuck-ct.gov,"229 Church Street
Naugatuck, CT 6770",
New Britain,Connecticut,TRUE,http://www.newbritainct.gov/index.php/city-services/registrar-of-voters.html,(860) 826-3314/3310,lpawlak@newbritainct.gov;peter.gostin@newbritainct.gov,"27 West Main Street Rm 507
New Britain, CT 6051",
New Canaan,Connecticut,TRUE,http://www.newcanaan.info/content/9490/293/321/default.aspx,(203) 594-3060,john.amarillios@newcanaanct.gov;joan.mclaughlin@newcanaanct.gov,"77 Main St. (1st FL)
New Canaan, CT 6840",
New Fairfield,Connecticut,TRUE,https://sites.google.com/a/newfairfield.org/newfairfieldct/municipal-departments/town-administration/registrar-of-voters,(203) 312-5614 or 312-5613,registrarofvoters@newfairfield.org,"4 Brush Hill Road
New Fairfield, CT 6812",
New Hartford,Connecticut,TRUE,http://www.town.new-hartford.ct.us/registrar-of-voters,(860) 738-9721,demnh@town.new-hartford.ct.us;repnh@town.new-hartford.ct.us,"Town Hall, 530 Main Street
New Hartford, CT 06057-0426","PO Box 426
New Hartford, CT 06057-0426"
New Haven,Connecticut,TRUE,,(203) 946-8035,sevans@newhavenct.gov;dknight@newhavenct.net,"200 Orange Street, Room 201
New Haven, CT 6510",
New London,Connecticut,TRUE,http://ci.new-london.ct.us/content/7429/7431/7467/default.aspx,(860) 447-5206,bgiesing@hotmail.com;rpero@ci.new-london.ct.us,"181 State Street
New London, CT 6320",
New Milford,Connecticut,TRUE,http://www.newmilford.org/content/3088/18300/default.aspx,(860) 355-6027,vr@newmilford.org,"10 Main Street
New Milford, CT 06776-2185",
Newington,Connecticut,TRUE,http://www.newingtonct.gov/content/78/118/144/27662.aspx,(860) 665-8516/8517,mfox@newingtonct.gov;lcultrera@newingtonct.gov,"131 Cedar Street
Newington, CT 6111",
Newtown,Connecticut,TRUE,http://www.newtown-ct.gov/Public_Documents/NewtownCT_Registrar/index,(203) 270-4250,lereine.frampton@newtown-ct.gov;carey.schierloh@newton-ct.gov,"3 Primrose Street
Newtown, CT 6470",
Norfolk,Connecticut,TRUE,http://www.norfolkct.org/TownGovernment/ROV/ROV.html,(860) 542-5134,norfolkrv@gmail.com,"19 Maple Avenue
Norfolk, CT 6058","PO BOX 552
Norfolk, CT 6058"
North Branford,Connecticut,TRUE,http://www.townofnorthbranfordct.com/newweb/government/departments/elections-registrar-of-voters.aspx,(203) 484-1033,mkesposito3@gmail.com;registrars@townofnorthbranfordct.com,"Town Hall, 909 Foxon Road
North Branford, CT 6471",
North Canaan,Connecticut,TRUE,,"(860) 824-7313, ext. 106",registrar@northcanaan.org,"Town Hall, 100 Pease Street, #7
Canaan, CT 6018","PO Box 338
Canaan, CT 6018"
North Haven,Connecticut,TRUE,http://www.northhaven-ct.gov/government/town_departments/departments_(m_-_r)/registrars_of_voters/index.php,(203) 239-5321 x640,jackson.patty@town.north-haven.ct.us;brangi.laurie@town.north-haven.ct.us,"18 Church Street
North Haven, CT 6473",
North Stonington,Connecticut,TRUE,http://www.northstoningtonct.gov/Pages/NStoningtonCT_Dept/Registrar/index,"(860) 535-2877, ext. 13",registrar@northstoningtonct.gov,"40 Main Street
North Stonington, CT 6359",
Norwalk,Connecticut,TRUE,http://www.norwalkct.org/index.aspx?nid=339,(203) 854-7763/7764,swells@norwalkct.org;klyons@norwalkct.org,"125 East Avenue Rm 122
Norwalk, CT 6851","PO Box 5125
Norwalk, CT 6856"
Norwich,Connecticut,TRUE,http://www.norwichct.org/index.aspx?nid=304,(860) 823-3754,nvr@cityofnorwich.org;nvr1@cityofnorwich.org,"100 Broadway- Rm. 129
Norwich, CT 6360",
Old Lyme,Connecticut,TRUE,http://www.oldlyme-ct.gov/Pages/OldLymeCT_Registrar/index,"(860) 434-1605, ext. 226",mcclarke5441@sbcglobal.net;cqcarter@hotmail.com,"52 Lyme Street
Old Lyme, CT 6371",
Old Saybrook,Connecticut,TRUE,http://www.oldsaybrookct.org/Pages/OldSaybrookCT_Voters/index,(860) 395-3134,registrar@town.old-saybrook.ct.us;jbroadhurst@town.old-saybrook.ct.us,"302 Main Street
Old Saybrook, CT 6475",
Orange,Connecticut,TRUE,http://www.orange-ct.gov/govser/registrar.htm,(203) 891-4715 or (203) 891-4716,jcasey@orange-ct.gov;fkendrick@orange-ct.gov,"617 Orange Center Road
Orange, CT 6477",
Oxford,Connecticut,TRUE,http://www.oxford-ct.gov/registrar-of-voters,"(203) 888-2543, ext. 3020/3058",joanne.jelenik@oxford-ct.gov;lindacrowe@oxford-ct.gov,"486 Oxford Road
Oxford, CT 6478",
Plainfield,Connecticut,TRUE,http://www.plainfieldct.org/registrar.asp,(860) 230-3024,registrar@plainfieldct.org,"8 Community Avenue
Plainfield, CT 6374",
Plainville,Connecticut,TRUE,http://www.plainvillect.com/registrars-voters-elections,(860) 793-0221 x256,abram@plainville-ct.gov;gasparini@plainville-ct.gov,"1 Central Square
Plainville, CT 6062",
Plymouth,Connecticut,TRUE,http://www.plymouthct.us/Voting/,(860) 585-4033/4097,registrars@plymouthct.us,"80 Main Street
Terryville, CT 6786",
Pomfret,Connecticut,TRUE,http://www.pomfretct.gov/registrar-of-voters,(860) 974-0343,susan.devokaitis@pomfrect.gov;martha.emilio@pomfretct.gov,"5 Haven Road
Pomfret Center, CT 6259",
Portland,Connecticut,TRUE,http://www.portlandct.org/Departments/RegistrarofVoters.aspx,860-342-6743,athenan@sbcglobal.net;pjnsewer0621@aol.com,"33 East Main Street
Portland, CT 6480",
Preston,Connecticut,TRUE,http://www.preston-ct.org/index.php/departments-aamp-services/registrar-of-voters,"(860) 887-5581, ext. 2/7",registrars@preston-ct.org,"389 Route 2
Preston, CT 6365",
Prospect,Connecticut,TRUE,http://www.townofprospect.org/registrar/registrar.html,(203) 758-4461,prospectctelections@gmail.com,"36 Center Street
Prospect, CT 6712",
Putnam,Connecticut,TRUE,http://www.putnamct.us/registrar-of-voters,(860) 963-6810,pfoundelheit@msn.com;registrar@putnamct.us,"431 Woodstock Ave
Putnam, CT 6260",
Redding,Connecticut,TRUE,http://townofreddingct.org/government/town-administration/registrar-voters/,(203) 938-5012,reddingcg@mansfieldct.org,"100 Hill Road
Redding, CT 6875","PO Box 1028
Redding, CT 6875"
Ridgefield,Connecticut,TRUE,http://www.ridgefieldct.org/content/46/102/default.aspx,(203) 431-2771 or (203) 431-2772,demsregistrar@ridgefieldct.org;gopregistrar@ridgefieldct.org,"400 Main Street
Ridgefield, CT 6877",
Rocky Hill,Connecticut,TRUE,http://www.rockyhillct.gov/departments/registrar_of_voters/index.php,(860) 258-2715,dfrancis@rockyhillct.gov;gyoo@rockyhillct.gov,"761 Old Main Street
Rocky Hill, CT 6067",
Roxbury,Connecticut,TRUE,http://www.roxburyct.com/Pages/RoxburyCT_Registrar/index,(860) 354-3328,registrar@roxburyct.com,"29 North Street
Roxbury, CT 6783",
Salem,Connecticut,TRUE,http://www.salemct.gov/Pages/SalemCT_Registrar/index,"(860) 859-3873, ext. 7",121salem.dem@gmail.com;121salem.rep@gmail.com,"270 Hartford Road
Salem, CT 6420",
Salisbury,Connecticut,TRUE,http://salisburyct.us/offices/registrarofvoters,(860) 435-5175,kjgerstel@gmail.com;mfdell827@comcast.net,"Town Hall, 27 Main Street
Salisbury, CT 6068","PO Box 548
Salisbury, CT 06068-0548"
Scotland,Connecticut,TRUE,http://scotlandct.org/department.htm?id=nu6nk3fk,(860) 423-9634,woconnor@snet.net;mcsavino@sbcglobal.net,"9 Devotion Rd.
Scotland, CT 6264","PO Box 122
Scotland, CT 06264-0122"
Seymour,Connecticut,TRUE,http://www.seymourct.org/Registrar-of-Voters/,(203) 881-5039,registrarofvoters@seymourct.org,"1 First Street
Seymour, CT 6483",
Sharon,Connecticut,TRUE,http://www.sharonct.org/index.php?option=com_content&view=article&catid=35%3Alocal-government&id=71%3Aregistrars&Itemid=28,(860) 364-5224/5789,rov@sharon-ct.org;marelrogers@yahoo.com,"Town Hall, 63 Main Street
Sharon, CT 6069","PO Box 224
Sharon, CT 06069-0224"
Shelton,Connecticut,TRUE,http://www.cityofshelton.org/index.php/government/registrar-of-voters,"(203) 924-2533, ext. 1",j.sabovik@cityofshelton.org;p.pavone@cityofshelton.org,"54 Grove St
Shelton, CT 6484",
Sherman,Connecticut,TRUE,http://www.townofshermanct.org/departments/voters.htm,(860) 350-4694,shermanreg@yahoo.com,"Mallory Town Hall, 9 Route 39 North
Sherman, CT 6784","PO Box 39
Sherman, CT 6784"
Simsbury,Connecticut,TRUE,http://www.simsbury-ct.gov/town-clerk/pages/election-voter-information,(860) 658-3267/3269,kcortes@simsbury-ct.gov;potvin-piecuch@simsbury-ct.gov,"933 Hopmeadow Street
Simsbury, CT 6070",
Somers,Connecticut,TRUE,http://www.somersct.gov/registrars.cfm,(860) 763-8211,rschmidt@somersct.gov;dmccaffrey@somersct.gov,"600 Main St
Somers, CT 6071",
South Windsor,Connecticut,TRUE,http://www.southwindsor.org/registrar-voters-0,(860) 644-2511 x275/276,sue.larsen@southwindsor.org;susan.burnham@southwindsor.org,"1540 Sullivan Avenue
South Windsor, CT 6074",
Southbury,Connecticut,TRUE,http://www.southbury-ct.org/content/992/121/151/default.aspx,(203) 262-0644,voterregistrar@southbury-ct.gov;marie.greene@southbury-ct.gov,"501 Main Street South
Southbury, CT 6488",
Southington,Connecticut,TRUE,http://www.southington.org/content/17216/17323/default.aspx,(860) 276-6268,shermanr@southington.org;janikt@southington.org,"75 Main Street
Southington, CT 6489",
Sprague,Connecticut,TRUE,http://www.ctsprague.org/department.htm?id=ttivre8h,(860) 822-3000,registrar@ctsprague.org,"1 Main Street
Baltic, CT 6330","PO Box 162
Baltic, CT 06330-0162"
